"Province_State" "Country_Region" "Confirmed" "Deaths"
"San Andres y Providencia" "Colombia" 7008 136
"Santander" "Colombia" 226115 7309
"Sucre" "Colombia" 59225 1624
"Tolima" "Colombia" 107553 3664
"Valle del Cauca" "Colombia" 410938 13011
"Vaupes" "Colombia" 1784 17
"Vichada" "Colombia" 2954 53
"Comoros" "Comoros" 4233 147
"Congo (Kinshasa)" "Congo" 57453 1091
"Costa Rica" "Costa Rica" 557922 6997
"Cote d'Ivoire" "Cote d'Ivoire" 61221 691
"Croatia" "Croatia" 449365 9090
"Cuba" "Cuba" 947935 8201
"Cyprus" "Cyprus" 123546 571
"Czechia" "Czechia" 1735552 30648
"Faroe Islands" "Denmark" 1714 2
"Greenland" "Denmark" 772 0
"Denmark" "Denmark" 379078 2703
"Diamond Princess" "Diamond Princess" 712 13
"Djibouti" "Djibouti" 13461 181
"Dominica" "Dominica" 4659 30
"Dominican Republic" "Dominican Republic" 377385 4114
"Ecuador" "Ecuador" 515659 32953
"Egypt" "Egypt" 326379 18375
"El Salvador" "El Salvador" 113422 3586
"Equatorial Guinea" "Equatorial Guinea" 13236 163
"Eritrea" "Eritrea" 6798 45
"Estonia" "Estonia" 184509 1477
"Eswatini" "Eswatini" 46390 1242
"Ethiopia" "Ethiopia" 363240 6393
"Fiji" "Fiji" 52028 673
"Finland" "Finland" 155547 1149
"French Guiana" "France" 44225 302
"French Polynesia" "France" 45506 635
"Guadeloupe" "France" 54288 815
"Martinique" "France" 42903 673
"Mayotte" "France" 20497 182
"New Caledonia" "France" 10687 261
"Reunion" "France" 54438 372
"Saint Barthelemy" "France" 1659 6
"Saint Pierre and Miquelon" "France" 32 0
"St Martin" "France" 3920 55
"Wallis and Futuna" "France" 454 7
"France" "France" 6956491 115182
"Gabon" "Gabon" 34898 230
"Gambia" "Gambia" 9959 340
"Georgia" "Georgia" 698944 9831
"Baden-Wurttemberg" "Germany" 619385 10936
"Bayern" "Germany" 796338 16006
"Berlin" "Germany" 220199 3684
"Brandenburg" "Germany" 122683 3907
"Bremen" "Germany" 35012 528
"Hamburg" "Germany" 96958 1808
"Hessen" "Germany" 350041 7841
"Mecklenburg-Vorpommern" "Germany" 52372 1231
"Niedersachsen" "Germany" 316333 6073
"Nordrhein-Westfalen" "Germany" 1000033 18157
"Rheinland-Pfalz" "Germany" 190511 4070
"Saarland" "Germany" 49365 1064
"Sachsen" "Germany" 318667 10290
"Sachsen-Anhalt" "Germany" 110208 3577
"Schleswig-Holstein" "Germany" 80656 1717
"Thuringen" "Germany" 147891 4476
"Ghana" "Ghana" 130008 1174
"Greece" "Greece" 724571 15707
"Grenada" "Grenada" 5824 197
"Guatemala" "Guatemala" 596417 14797
"Guinea" "Guinea" 30645 385
"Guinea-Bissau" "Guinea-Bissau" 6133 141
"Guyana" "Guyana" 35170 899
"Haiti" "Haiti" 23619 662
"Holy See" "Holy See" 27 0
"Honduras" "Honduras" 374783 10210
"Hungary" "Hungary" 852214 30611
"Iceland" "Iceland" 13236 33
"Andaman and Nicobar Islands" "India" 7648 129
"Andhra Pradesh" "India" 2064287 14356
"Arunachal Pradesh" "India" 55114 280
"Assam" "India" 609262 5981
"Bihar" "India" 726068 9661
"Chandigarh" "India" 65326 820
"Chhattisgarh" "India" 1005898 13573
"Dadra and Nagar Haveli and Daman and Diu" "India" 10681 4
"Delhi" "India" 1439671 25091
"Goa" "India" 177946 3362
"Gujarat" "India" 826464 10088
"Haryana" "India" 771189 10049
"Himachal Pradesh" "India" 223145 3739
"Jammu and Kashmir" "India" 331795 4431
"Jharkhand" "India" 348677 5135
"Karnataka" "India" 2986553 38024
"Kerala" "India" 4929158 29355
"Ladakh" "India" 20917 208
"Lakshadweep" "India" 10365 51
"Madhya Pradesh" "India" 792784 10523
"Maharashtra" "India" 6605051 140060
"Manipur" "India" 123403 1915
"Meghalaya" "India" 83415 1446
"Mizoram" "India" 118949 422
"Nagaland" "India" 31747 681
"Odisha" "India" 1039269 8316
"Puducherry" "India" 127806 1857
"Punjab" "India" 602251 16554
"Rajasthan" "India" 954407 8954
"Sikkim" "India" 31912 395
"Tamil Nadu" "India" 2697418 36048
"Telangana" "India" 670643 3950
"Tripura" "India" 84423 816
"Uttar Pradesh" "India" 1710101 22899
"Uttarakhand" "India" 343844 7399
"West Bengal" "India" 1588066 19081
"Indonesia" "Indonesia" 4241090 143270
"Iran" "Iran" 5877456 125519
"Iraq" "Iraq" 2049240 23024
"Ireland" "Ireland" 433902 5369
"Israel" "Israel" 1324897 8063
"Abruzzo" "Italy" 82442 2559
"Basilicata" "Italy" 30654 624
"Calabria" "Italy" 86697 1445
"Campania" "Italy" 464080 8043
"Emilia-Romagna" "Italy" 430371 13564
"Friuli Venezia Giulia" "Italy" 115915 3848
"Lazio" "Italy" 392400 8770
"Liguria" "Italy" 114352 4423
"Lombardia" "Italy" 891942 34145
"Marche" "Italy" 115668 3099
"Molise" "Italy" 14618 498
"P.A. Bolzano" "Italy" 78347 1199
"P.A. Trento" "Italy" 49116 1377
"Piemonte" "Italy" 383733 11806
"Puglia" "Italy" 271816 6828
"Sardegna" "Italy" 76003 1671
"Sicilia" "Italy" 306585 6994
"Toscana" "Italy" 287914 7258
"Umbria" "Italy" 64868 1462
