"Province_State";"Country_Region";"Confirmed";"Deaths"
"Afghanistan";"Afghanistan";158678;7378
"Albania";"Albania";230940;3265
"Algeria";"Algeria";225484;6404
"Angola";"Angola";93524;1857
"Argentina";"Argentina";7029624;117989
"Australian Capital Territory";"Australia";22396;18
"New South Wales";"Australia";773447;866
"Northern Territory";"Australia";6000;2
"Queensland";"Australia";214602;29
"South Australia";"Australia";71442;42
"Tasmania";"Australia";17970;13
"Victoria";"Australia";618965;1694
"Western Australia";"Australia";1294;9
"Austria";"Austria";1428170;13915
"Azerbaijan";"Azerbaijan";624918;8510
"Bahamas";"Bahamas";30655;719
"Bahrain";"Bahrain";305414;1398
"Bangladesh";"Bangladesh";1612489;28136
"Barbados";"Barbados";34961;269
"Antwerp";"Belgium";347368;0
"Brussels";"Belgium";298580;0
"East Flanders";"Belgium";300504;0
"Flemish Brabant";"Belgium";218569;0
"Hainaut";"Belgium";284444;0
"Liege";"Belgium";251877;0
"Limburg";"Belgium";158895;0
"Luxembourg";"Belgium";62002;0
"Namur";"Belgium";110746;0
"Walloon Brabant";"Belgium";93638;0
"West Flanders";"Belgium";244171;0
"Belize";"Belize";40612;608
"Benin";"Benin";26036;162
"Bhutan";"Bhutan";2904;3
"Bolivia";"Bolivia";725459;20149
"Bosnia and Herzegovina";"Bosnia and Herzegovina";313185;13741
"Botswana";"Botswana";237678;2514
"Acre";"Brazil";89635;1854
"Alagoas";"Brazil";245054;6391
"Amapa";"Brazil";128799;2030
"Amazonas";"Brazil";446680;13856
"Bahia";"Brazil";1287084;27658
"Ceara";"Brazil";968505;24870
"Distrito Federal";"Brazil";541252;11126
"Espirito Santo";"Brazil";661762;13371
"Goias";"Brazil";969099;24765
"Maranhao";"Brazil";374304;10413
"Mato Grosso";"Brazil";576467;14122
"Mato Grosso do Sul";"Brazil";391417;9754
"Minas Gerais";"Brazil";2349381;56810
"Para";"Brazil";633356;17237
"Paraiba";"Brazil";468178;9614
"Parana";"Brazil";1693867;40931
"Pernambuco";"Brazil";654766;20544
"Piaui";"Brazil";345004;7314
"Rio Grande do Norte";"Brazil";394011;7599
"Rio Grande do Sul";"Brazil";1581887;36521
"Rio de Janeiro";"Brazil";1438711;69579
"Rondonia";"Brazil";290050;6789
"Roraima";"Brazil";132526;2078
"Santa Catarina";"Brazil";1298857;20268
"Sao Paulo";"Brazil";4498145;155707
"Sergipe";"Brazil";279897;6065
"Tocantins";"Brazil";243157;3967
"Brunei";"Brunei";15797;98
"Bulgaria";"Bulgaria";818229;32042
"Burkina Faso";"Burkina Faso";20127;339
"Burma";"Burma";533021;19301
"Burundi";"Burundi";36257;38
"Cabo Verde";"Cabo Verde";53987;372
"Cambodia";"Cambodia";120773;3015
"Cameroon";"Cameroon";109666;1853
"Alberta";"Canada";436495;3380
"British Columbia";"Canada";293521;2468
"Diamond Princess";"Canada";0;1
"Grand Princess";"Canada";13;0
"Manitoba";"Canada";107838;1443
"New Brunswick";"Canada";22388;183
"Newfoundland and Labrador";"Canada";12092;24
"Northwest Territories";"Canada";3741;12
"Nova Scotia";"Canada";28736;117
"Nunavut";"Canada";1055;4
"Ontario";"Canada";949846;10622
"Prince Edward Island";"Canada";3861;0
"Quebec";"Canada";789806;12289
"Repatriated Travellers";"Canada";13;0
"Saskatchewan";"Canada";98699;961
"Yukon";"Canada";2638;15
"Central African Republic";"Central African Republic";13319;108
"Chad";"Chad";6558;185
"Antofagasta";"Chile";70863;1295
"Araucania";"Chile";107397;1569
"Arica y Parinacota";"Chile";31739;547
"Atacama";"Chile";31776;384
"Aysen";"Chile";10635;100
"Biobio";"Chile";170813;2889
"Coquimbo";"Chile";56632;1109
"Los Lagos";"Chile";101054;1548
"Los Rios";"Chile";55222;736
"Magallanes";"Chile";32156;512
"Maule";"Chile";111080;1874
"Metropolitana";"Chile";776663;20001
"Nuble";"Chile";40417;680
"OHiggins";"Chile";74274;1637
"Tarapaca";"Chile";52716;837
"Valparaiso";"Chile";143612;3658
"Anhui";"China";1009;6
"Beijing";"China";1225;9
"Chongqing";"China";611;6
"Fujian";"China";1441;1
"Gansu";"China";356;2
"Guangdong";"China";3640;8
"Guangxi";"China";683;2
"Guizhou";"China";160;2
"Hainan";"China";190;6
"Hebei";"China";1458;7
"Heilongjiang";"China";2035;13
"Henan";"China";2402;22
"Hong Kong";"China";12857;213
"Hubei";"China";68320;4512
"Hunan";"China";1229;4
"Inner Mongolia";"China";1191;1
"Jiangsu";"China";1629;0
"Jiangxi";"China";959;1
"Jilin";"China";590;3
"Liaoning";"China";808;2
"Macau";"China";79;0
"Ningxia";"China";122;0
"Qinghai";"China";30;0
"Shaanxi";"China";2817;3
"Shandong";"China";1053;7
"Shanghai";"China";3502;7
"Shanxi";"China";266;0
"Sichuan";"China";1353;3
"Tianjin";"China";864;3
"Tibet";"China";1;0
"Xinjiang";"China";981;3
"Yunnan";"China";1843;2
"Zhejiang";"China";2096;1
"Amazonas";"Colombia";7146;260
"Antioquia";"Colombia";865776;17094
"Arauca";"Colombia";14773;492
"Atlantico";"Colombia";362923;9767
"Bolivar";"Colombia";181012;3083
"Boyaca";"Colombia";113809;2594
"Caldas";"Colombia";108963;2306
"Capital District";"Colombia";1563993;27801
"Caqueta";"Colombia";23516;949
"Casanare";"Colombia";37212;944
"Cauca";"Colombia";63609;1605
"Cesar";"Colombia";96409;2574
"Choco";"Colombia";17801;407
"Cordoba";"Colombia";108617;3752
"Cundinamarca";"Colombia";280894;6874
"Guainia";"Colombia";2609;35
"Guaviare";"Colombia";5278;97
"Huila";"Colombia";92954;3224
"La Guajira";"Colombia";48564;1454
"Magdalena";"Colombia";105284;3498
"Meta";"Colombia";94373;2319
"Narino";"Colombia";96672;3055
"Norte de Santander";"Colombia";105366;4749
"Putumayo";"Colombia";18579;724
"Quindio";"Colombia";64236;1874
"Risaralda";"Colombia";96982;2297
"San Andres y Providencia";"Colombia";9191;152
"Santander";"Colombia";247108;7580
"Sucre";"Colombia";61267;1629
"Tolima";"Colombia";113258;3703
"Valle del Cauca";"Colombia";498427;13597
"Vaupes";"Colombia";1807;17
"Vichada";"Colombia";3071;58
"Comoros";"Comoros";7745;159
"Costa Rica";"Costa Rica";609882;7406
"Croatia";"Croatia";811703;13073
"Cuba";"Cuba";995631;8335
"Cyprus";"Cyprus";223767;673
"Czechia";"Czechia";2587147;36828
"Faroe Islands";"Denmark";9761;15
"Greenland";"Denmark";7083;2
"Denmark";"Denmark";1105037;3484
"Djibouti";"Djibouti";14841;189
"Dominican Republic";"Dominican Republic";494595;4268
