"Province_State";"Country_Region";"Confirmed";"Deaths"
"Afghanistan";"Afghanistan";157858;7328
"Albania";"Albania";203787;3134
"Algeria";"Algeria";212848;6145
"Angola";"Angola";65404;1737
"Argentina";"Argentina";5358455;116771
"Australian Capital Territory";"Australia";2200;15
"New South Wales";"Australia";86453;639
"Northern Territory";"Australia";328;1
"Queensland";"Australia";2176;7
"South Australia";"Australia";1021;4
"Tasmania";"Australia";240;13
"Victoria";"Australia";137227;1418
"Western Australia";"Australia";1123;9
"Austria";"Austria";1228034;13162
"Azerbaijan";"Azerbaijan";604480;8088
"Bahamas";"Bahamas";22881;708
"Bahrain";"Bahrain";278065;1394
"Bangladesh";"Bangladesh";1579325;28028
"Barbados";"Barbados";26740;251
"Antwerp";"Belgium";279265;0
"Brussels";"Belgium";224906;0
"East Flanders";"Belgium";239386;0
"Flemish Brabant";"Belgium";166092;0
"Hainaut";"Belgium";232721;0
"Liege";"Belgium";212029;0
"Limburg";"Belgium";127225;0
"Luxembourg";"Belgium";51543;0
"Namur";"Belgium";92970;0
"Walloon Brabant";"Belgium";72660;0
"West Flanders";"Belgium";199560;0
"Belize";"Belize";31033;586
"Benin";"Benin";24897;161
"Bhutan";"Bhutan";2649;3
"Bolivia";"Bolivia";553108;19317
"Bosnia and Herzegovina";"Bosnia and Herzegovina";280980;12918
"Botswana";"Botswana";196090;2421
"Acre";"Brazil";88264;1849
"Alagoas";"Brazil";241772;6365
"Amapa";"Brazil";125252;2005
"Amazonas";"Brazil";431086;13812
"Bahia";"Brazil";1264804;27370
"Ceara";"Brazil";952894;24709
"Distrito Federal";"Brazil";518309;11052
"Espirito Santo";"Brazil";624058;13234
"Goias";"Brazil";942610;24601
"Maranhao";"Brazil";366930;10333
"Mato Grosso";"Brazil";550879;13759
"Mato Grosso do Sul";"Brazil";379448;9703
"Minas Gerais";"Brazil";2213520;56386
"Para";"Brazil";613978;16965
"Paraiba";"Brazil";462450;9555
"Parana";"Brazil";1586082;40819
"Pernambuco";"Brazil";642881;20301
"Piaui";"Brazil";333318;7220
"Rio Grande do Norte";"Brazil";384052;7514
"Rio Grande do Sul";"Brazil";1497889;36262
"Rio de Janeiro";"Brazil";1349385;69224
"Rondonia";"Brazil";280495;6671
"Roraima";"Brazil";128717;2061
"Santa Catarina";"Brazil";1237060;20073
"Sao Paulo";"Brazil";4448466;154638
"Sergipe";"Brazil";278347;6049
"Tocantins";"Brazil";234113;3927
"Brunei";"Brunei";15348;98
"Bulgaria";"Bulgaria";714688;29536
"Burkina Faso";"Burkina Faso";16334;290
"Burma";"Burma";526661;19183
"Burundi";"Burundi";20666;38
"Cabo Verde";"Cabo Verde";38503;351
