"Province_State";"Country_Region";"Lat";"Long_";"Confirmed";"Deaths"
"OHiggins";"Chile";-34.5755;-71.0022;71692;1596
"Tarapaca";"Chile";-19.9232;-69.5132;43625;813
"Valparaiso";"Chile";-33.0472;-71.6127;131602;3522
"Anhui";"China";31.8257;117.2264;1008;6
"Beijing";"China";40.1824;116.4142;1191;9
"Chongqing";"China";30.0572;107.874;610;6
"Fujian";"China";26.0789;117.9874;1319;1
"Gansu";"China";35.7518;104.2861;344;2
"Guangdong";"China";23.3417;113.4244;3274;8
"Guangxi";"China";23.8298;108.7881;379;2
"Guizhou";"China";26.8154;106.8748;159;2
"Hainan";"China";19.1959;109.7453;190;6
"Hebei";"China";37.8957;114.9042;1453;7
"Heilongjiang";"China";47.862;127.7615;1992;13
"Henan";"China";33.882;113.614;1636;22
"Hong Kong";"China";22.3;114.2;12401;213
"Hubei";"China";30.9756;112.2707;68311;4512
"Hunan";"China";27.6104;111.7088;1197;4
"Inner Mongolia";"China";44.0935;113.9448;618;1
"Jiangsu";"China";32.9711;119.455;1619;0
"Jiangxi";"China";27.614;115.7221;959;1
"Jilin";"China";43.6661;126.1923;582;3
"Liaoning";"China";41.2956;122.6085;771;2
"Macau";"China";22.1667;113.55;77;0
"Ningxia";"China";37.2692;106.1655;122;0
"Qinghai";"China";35.7452;95.9956;30;0
"Shaanxi";"China";35.1917;108.8701;704;3
"Shandong";"China";36.3427;118.1498;1011;7
"Shanghai";"China";31.202;121.4491;2822;7
"Shanxi";"China";37.5777;112.2922;264;0
"Sichuan";"China";30.6171;102.7103;1265;3
"Tianjin";"China";39.3054;117.323;528;3
"Tibet";"China";31.6927;88.0924;1;0
"Xinjiang";"China";41.1129;85.2401;981;3
"Yunnan";"China";24.974;101.487;1664;2
"Zhejiang";"China";29.1832;120.0934;1501;1
"Amazonas";"Colombia";-1.4429;-71.5724;6876;256
"Antioquia";"Colombia";7.1986;-75.3412;765130;16468
"Arauca";"Colombia";7.0762;-70.7105;13901;466
"Atlantico";"Colombia";10.6966;-74.8741;336914;9646
"Bolivar";"Colombia";8.6704;-74.03;159812;3016
"Boyaca";"Colombia";5.4545;-73.362;106197;2574
"Caldas";"Colombia";5.2983;-75.2479;101118;2281
"Capital District";"Colombia";4.711;-74.0721;1460332;27601
"Caqueta";"Colombia";0.8699;-73.8419;22978;941
"Casanare";"Colombia";5.7589;-71.5724;35826;933
"Cauca";"Colombia";2.705;-76.826;56597;1583
"Cesar";"Colombia";9.3373;-73.6536;91258;2518
"Choco";"Colombia";5.2528;-76.826;16478;400
"Cordoba";"Colombia";8.0493;-75.574;104473;3740
"Cundinamarca";"Colombia";5.026;-74.03;265862;6842
"Guainia";"Colombia";2.5854;-68.5247;2420;30
"Guaviare";"Colombia";1.0654;-73.2603;5153;97
"Huila";"Colombia";2.5359;-75.5277;88770;3151
"La Guajira";"Colombia";11.3548;-72.5205;45018;1386
"Magdalena";"Colombia";10.4113;-74.4057;99047;3414
"Meta";"Colombia";3.272;-73.0877;89995;2280
"Narino";"Colombia";1.2892;-77.3579;90220;3035
"Norte de Santander";"Colombia";7.9463;-72.8988;96972;4458
"Putumayo";"Colombia";0.436;-75.5277;16807;678
"Quindio";"Colombia";4.461;-75.6674;57701;1780
"Risaralda";"Colombia";5.3158;-75.9928;88288;2241
"San Andres y Providencia";"Colombia";12.5567;-81.7185;7785;139
"Santander";"Colombia";6.6437;-73.6536;228848;7353
"Sucre";"Colombia";8.814;-74.7233;59612;1627
"Tolima";"Colombia";4.0925;-75.1545;107998;3673
"Valle del Cauca";"Colombia";3.8009;-76.6413;414890;13120
"Vaupes";"Colombia";0.8554;-70.812;1794;17
"Vichada";"Colombia";4.4234;-69.2878;2991;53
"Comoros";"Comoros";-11.6455;43.3333;4450;150
"Congo (Kinshasa)";"Congo";-4.0383;21.7587;57880;1104
"Costa Rica";"Costa Rica";9.7489;-83.7534;565548;7251
"Cote d'Ivoire";"Cote d'Ivoire";7.54;-5.5471;61591;702
"Croatia";"Croatia";45.1;15.2;570380;10303
"Cuba";"Cuba";21.521757;-77.781167;960802;8295
"Cyprus";"Cyprus";35.1264;33.4299;129888;590
