"Country_Region" "X2021.01.01" "X2021.01.02" "X2021.01.03" "X2021.01.04" "X2021.01.05" "X2021.01.06" "X2021.01.07" "X2021.01.08" "X2021.01.09" "X2021.01.10" "X2021.01.11" "X2021.01.12" "X2021.01.13" "X2021.01.14" "X2021.01.15" "X2021.01.16" "X2021.01.17" "X2021.01.18" "X2021.01.19" "X2021.01.20" "X2021.01.21" "X2021.01.22" "X2021.01.23" "X2021.01.24" "X2021.01.25" "X2021.01.26" "X2021.01.27" "X2021.01.28" "X2021.01.29" "X2021.01.30" "X2021.01.31" "X2021.02.01" "X2021.02.02" "X2021.02.03" "X2021.02.04" "X2021.02.05" "X2021.02.06" "X2021.02.07" "X2021.02.08" "X2021.02.09" "X2021.02.10" "X2021.02.11" "X2021.02.12" "X2021.02.13" "X2021.02.14" "X2021.02.15" "X2021.02.16" "X2021.02.17" "X2021.02.18" "X2021.02.19" "X2021.02.20" "X2021.02.21" "X2021.02.22" "X2021.02.23" "X2021.02.24" "X2021.02.25" "X2021.02.26" "X2021.02.27" "X2021.02.28" "X2021.03.01" "X2021.03.02" "X2021.03.03" "X2021.03.04" "X2021.03.05" "X2021.03.06" "X2021.03.07" "X2021.03.08" "X2021.03.09" "X2021.03.10" "X2021.03.11" "X2021.03.12" "X2021.03.13" "X2021.03.14" "X2021.03.15" "X2021.03.16" "X2021.03.17" "X2021.03.18" "X2021.03.19" "X2021.03.20" "X2021.03.21" "X2021.03.22" "X2021.03.23" "X2021.03.24" "X2021.03.25" "X2021.03.26" "X2021.03.27" "X2021.03.28" "X2021.03.29" "X2021.03.30" "X2021.03.31" "X2021.04.01" "X2021.04.02" "X2021.04.03" "X2021.04.04" "X2021.04.05" "X2021.04.06" "X2021.04.07" "X2021.04.08" "X2021.04.09" "X2021.04.10" "X2021.04.11" "X2021.04.12" "X2021.04.13" "X2021.04.14" "X2021.04.15" "X2021.04.16" "X2021.04.17" "X2021.04.18" "X2021.04.19" "X2021.04.20" "X2021.04.21" "X2021.04.22" "X2021.04.23" "X2021.04.24" "X2021.04.25" "X2021.04.26" "X2021.04.27" "X2021.04.28" "X2021.04.29" "X2021.04.30" "X2021.05.01" "X2021.05.02" "X2021.05.03" "X2021.05.04" "X2021.05.05" "X2021.05.06" "X2021.05.07" "X2021.05.08" "X2021.05.09" "X2021.05.10" "X2021.05.11" "X2021.05.12" "X2021.05.13" "X2021.05.14" "X2021.05.15" "X2021.05.16" "X2021.05.17" "X2021.05.18" "X2021.05.19" "X2021.05.20" "X2021.05.21" "X2021.05.22" "X2021.05.23" "X2021.05.24" "X2021.05.25" "X2021.05.26" "X2021.05.27" "X2021.05.28" "X2021.05.29" "X2021.05.30" "X2021.05.31" "X2021.06.01" "X2021.06.02" "X2021.06.03" "X2021.06.04" "X2021.06.05" "X2021.06.06" "X2021.06.07" "X2021.06.08" "X2021.06.09" "X2021.06.10" "X2021.06.11" "X2021.06.12" "X2021.06.13" "X2021.06.14" "X2021.06.15" "X2021.06.16" "X2021.06.17" "X2021.06.18" "X2021.06.19" "X2021.06.20" "X2021.06.21" "X2021.06.22" "X2021.06.23" "X2021.06.24" "X2021.06.25" "X2021.06.26" "X2021.06.27" "X2021.06.28" "X2021.06.29" "X2021.06.30" "X2021.07.01" "X2021.07.02" "X2021.07.03" "X2021.07.04" "X2021.07.05" "X2021.07.06" "X2021.07.07" "X2021.07.08" "X2021.07.09" "X2021.07.10" "X2021.07.11" "X2021.07.12" "X2021.07.13" "X2021.07.14" "X2021.07.15" "X2021.07.16" "X2021.07.17" "X2021.07.18" "X2021.07.19" "X2021.07.20" "X2021.07.21" "X2021.07.22" "X2021.07.23" "X2021.07.24" "X2021.07.25" "X2021.07.26" "X2021.07.27" "X2021.07.28" "X2021.07.29" "X2021.07.30" "X2021.07.31" "X2021.08.01" "X2021.08.02" "X2021.08.03" "X2021.08.04" "X2021.08.05" "X2021.08.06" "X2021.08.07" "X2021.08.08" "X2021.08.09" "X2021.08.10" "X2021.08.11" "X2021.08.12" "X2021.08.13" "X2021.08.14" "X2021.08.15" "X2021.08.16" "X2021.08.17" "X2021.08.18" "X2021.08.19" "X2021.08.20" "X2021.08.21" "X2021.08.22" "X2021.08.23" "X2021.08.24" "X2021.08.25" "X2021.08.26" "X2021.08.27" "X2021.08.28" "X2021.08.29" "X2021.08.30" "X2021.08.31" "X2021.09.01" "X2021.09.02" "X2021.09.03" "X2021.09.04" "X2021.09.05" "X2021.09.06" "X2021.09.07" "X2021.09.08" "X2021.09.09" "X2021.09.10" "X2021.09.11" "X2021.09.12" "X2021.09.13" "X2021.09.14" "X2021.09.15" "X2021.09.16" "X2021.09.17" "X2021.09.18" "X2021.09.19" "X2021.09.20" "X2021.09.21" "X2021.09.22" "X2021.09.23" "X2021.09.24" "X2021.09.25" "X2021.09.26" "X2021.09.27" "X2021.09.28" "X2021.09.29" "X2021.09.30" "X2021.10.01" "X2021.10.02" "X2021.10.03" "X2021.10.04" "X2021.10.05" "X2021.10.06" "X2021.10.07" "X2021.10.08" "X2021.10.09" "X2021.10.10" "X2021.10.11" "X2021.10.12" "X2021.10.13" "X2021.10.14" "X2021.10.15" "X2021.10.16" "X2021.10.17" "X2021.10.18" "X2021.10.19" "X2021.10.20" "X2021.10.21" "X2021.10.22" "X2021.10.23" "X2021.10.24" "X2021.10.25" "X2021.10.26" "X2021.10.27" "X2021.10.28" "X2021.10.29" "X2021.10.30" "X2021.10.31" "X2021.11.01" "X2021.11.02" "X2021.11.03" "X2021.11.04" "X2021.11.05" "X2021.11.06" "X2021.11.07" "X2021.11.08" "X2021.11.09" "X2021.11.10" "X2021.11.11" "X2021.11.12" "X2021.11.13" "X2021.11.14" "X2021.11.15" "X2021.11.16" "X2021.11.17" "X2021.11.18" "X2021.11.19" "X2021.11.20" "X2021.11.21"
"25" "Brunei" 0 0 15 15 15 15 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 18 18 18 18 19 19 23 23 23 23 23 23 23 23 23 24 24 25 25 25 26 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 29 29 29 30 30 31 31 32 32 33 34 35 35 35 35 42 42 45 46 46 46 48 49 49 49 49 49 49 49 50 50 53 55 56 56 57 57 57 57 58 59 62 62 62 62 62 62 64 64 64 64 64 66 66 66 66 66 66 66 66 67 67 67 70 70 70 71 71 71 72 73 73 73 73 74 75 75 75 75 75 75 78 78 78 78 78 79 79 83 84 84 84 84 85 87 87 87 87 87 87 87 89 89 91 91 91 91 91 93 93 93 94 94 98 98 99 99 99 99 102 102 102 102 103 104 104 105 105 105 109 109 109 109 111 111 120 125 125 125 125 126 126 126 148 148 154 156 164 164 176 176 176 176 179 180 180 181 181 181 182 182 182 190 249 283 337 386 441 483 566 630 695 789 789 1176 1298 1612 1716 1716 2002 2002 2223 2223 2305 2484 2555 2701 2803 2936 2936 2936 3307 3410 3526 3674 3737 3878 4006 4166 4274 4409 4518 4657 4800 4890 5104 5228 5429 5429 5803 5803 6383 6543 6656 6793 6959 7169 7169 7169 7747 7887 7993 8105 8307 8442 8823 9010 9315 9508 9671 10094 10199 10703 10890 11063 11229 11385 11515 11744 11956 12227 12438 12553 12666 12798 12908 12973 13089 13164 13289 13388 13388 13585 13585 13625 13707 13805 13901 13964 14015 14058 14058 14134 14221 14242 14287 14287 14434
"26" "Bulgaria" 274 614 785 1814 3124 4126 4993 5746 6140 6245 6865 7615 8150 8685 9237 9470 9547 10117 10661 11143 11598 12164 12430 12551 13323 14150 14748 15308 16003 16352 16482 17314 18281 19000 19883 20793 21286 21468 22583 23795 24708 25778 26744 27250 27413 28481 29830 31076 32162 33625 34173 34400 36325 38125 39858 41680 43361 44440 44772 47360 49763 50917 53115 56119 57545 58042 61037 64539 67313 70434 73593 75612 76291 80928 85302 89503 93511 97673 100214 101157 105624 110475 114850 118838 122967 125504 126487 130984 136160 140367 144061 148074 149993 150733 154593 154593 162153 165110 167913 169265 169727 172849 175793 178310 180495 182621 183697 184115 186549 188645 190647 190647 194036 194834 195234 196993 198843 200225 201462 202114 202580 202928 203559 203926 205561 206106 207229 207695 207936 209014 209891 210548 211054 211572 211775 211926 212603 213060 213421 213789 214151 214299 214380 214461 214867 215260 215553 215840 215955 216008 216311 216547 216744 216914 217071 217160 217207 217415 217593 217724 217824 217947 218028 218070 218227 218388 218483 218593 218698 218739 218766 218886 218980 219073 219135 219221 219249 219265 219380 219485 219563 219636 219717 219768 219768 219885 219972 220032 220087 220148 220180 220196 220279 220353 220437 220531 220607 220664 220699 220812 220957 221053 221174 221309 221363 221420 221613 221813 222029 222260 222606 222788 222882 223275 223737 224166 224666 225215 225607 225783 226557 227362 228144 229026 230073 230696 230968 232269 233674 235061 236432 237800 238645 239029 240920 242831 244432 246165 247878 248882 249333 251423 253476 255221 256785 258425 259279 259767 260444 262449 264405 266034 267660 268569 269006 271004 273033 274895 276619 278511 279462 279920 282280 284472 285322 287157 289061 290099 290595 293131 295704 297846 299896 301987 303215 303728 306534 309400 311942 314244 316729 317975 318596 322067 325536 328863 332046 335486 337353 338353 343332 348289 352811 357627 362453 365807 367177 373040 379856 385499 390677 395933 398769 400226 406233 412096 417018 421680 426414 429240 430496 435782 440737 444590 447797 450943 452553 453381 456604 460473 463312 466097 468834 470289 471022
"27" "Burkina Faso" 121 233 344 419 635 856 1006 1159 1159 1375 1572 1756 1839 2102 2175 2293 2481 2645 2645 2846 3012 3150 3260 3331 3396 3450 3510 3670 3716 3873 3975 4061 4197 4251 4346 4436 4520 4578 4602 4660 4719 4719 4831 4881 4881 4923 4923 4965 4996 5056 5076 5090 5140 5161 5180 5207 5232 5275 5275 5323 5340 5364 5396 5416 5446 5474 5474 5480 5523 5568 5598 5643 5665 5671 5671 5692 5743 5743 5809 5828 5852 5865 5889 5912 5943 5966 5985 5995 6010 6010 6067 6084 6096 6110 6118 6138 6166 6197 6217 6249 6249 6282 6282 6343 6357 6376 6407 6422 6441 6460 6460 6505 6524 6524 6556 6556 6556 6579 6602 6603 6612 6612 6617 6632 6638 6646 6646 6670 6672 6675 6677 6680 6680 6687 6688 6690 6690 6697 6700 6701 6703 6707 6708 6708 6709 6712 6714 6717 6723 6723 6727 6728 6728 6739 6740 6745 6746 6746 6747 6747 6749 6749 6752 6752 6752 6752 6753 6753 6755 6761 6762 6762 6762 6766 6767 6770 6771 6771 6772 6772 6772 6778 6781 6787 6787 6787 6787 6797 6798 6799 6799 6802 6813 6816 6820 6823 6825 6829 6829 6829 6830 6830 6830 6830 6831 6831 6843 6849 6853 6859 6866 6866 6881 6884 6884 6892 6892 6900 6903 6914 6918 6919 6925 6928 6961 6964 6968 6970 6970 6973 6985 6988 6992 7006 7008 7018 7030 7042 7047 7052 7055 7061 7070 7070 7091 7109 7120 7134 7144 7161 7165 7165 7199 7222 7235 7243 7252 7265 7277 7296 7318 7334 7345 7357 7369 7385 7409 7424 7465 7476 7492 7506 7536 7555 7583 7628 7634 7649 7681 7696 7727 7751 7788 7809 7839 7879 7933 7950 7979 8027 8045 8052 8086 8086 8086 8086 8086 8086 8086 8086 8086 8086 8086 8086 8086 8396 8396 8396 8396 8396 8396 8396 8396 8574 8574 8574 8574 8574 8574 8807 8807 8807 8807 8807 8807
"28" "Burma" 412 986 1715 2305 2954 3548 4142 4853 5419 5974 6556 7107 7630 8235 8748 9239 9688 10165 10613 11091 11536 11961 12468 12944 13327 13738 14172 14522 14885 15234 15515 15724 15724 16297 16474 16674 16674 16674 16797 16818 16857 16892 16913 16955 16971 17007 17029 17060 17079 17098 17105 17120 17131 17153 17186 17211 17245 17260 17266 17286 17335 17354 17370 17370 17393 17404 17415 17429 17443 17484 17492 17506 17517 17517 17532 17560 17582 17582 17582 17582 17616 17634 17662 17685 17710 17747 17755 17763 17782 17804 17836 17836 17849 17867 17881 17900 17911 17919 17928 17942 17946 17966 17966 17975 17980 17987 17989 17998 18014 18014 18031 18044 18057 18074 18082 18092 18110 18160 18170 18187 18201 18208 18212 18228 18244 18244 18273 18304 18317 18333 18344 18367 18374 18405 18429 18435 18467 18501 18529 18553 18581 18598 18604 18632 18666 18688 18784 18856 18896 18941 18999 19121 19193 19315 19527 19623 19687 19826 19949 20085 20246 20434 20600 20973 21196 21421 21776 22138 22439 22985 23392 23987 24617 25297 26084 26943 27726 28530 29755 31067 32647 34717 36580 38457 40775 43744 47346 51293 55425 59745 64122 67583 72597 76644 83727 87915 94109 99606 104891 110080 115940 122033 128734 134240 139897 144895 149525 154489 159469 164703 169830 174555 178035 181724 186437 190488 194620 198208 201859 204886 208497 212931 216670 220100 223556 226975 229649 232355 235661 238539 241129 244138 246882 249055 251241 253747 256249 258884 261572 264504 267670 271253 274652 278010 281469 284879 287957 290786 293341 295772 298474 300784 302886 305250 307203 309476 311897 314321 316111 318298 320241 321943 323528 325215 327033 328777 330444 331990 333524 334806 336436 337978 339446 341292 342639 343833 345152 346678 348395 349789 351255 352703 354021 355218 356600 358173 359687 361016 362221 363223 364245 365378 366271 366954 367879 368946 369633 370344 371268 372271 373070 373975 374691 375443 376320 377394 378349 379351 380408 381368 382186 383185 383961 385141 386095 387087 387918 388632 389332 390086 390929 391516 392140 392765 393292
"29" "Burundi" 4 4 15 24 24 66 67 67 67 168 201 201 244 285 332 367 418 427 435 504 540 562 620 654 661 663 724 766 786 795 814 817 823 846 868 880 899 905 910 912 933 953 979 1006 1006 1031 1037 1077 1110 1137 1165 1213 1216 1223 1251 1288 1325 1363 1391 1399 1406 1422 1450 1465 1481 1501 1516 1521 1551 1578 1602 1623 1643 1643 1643 1643 1724 1745 1745 1795 1800 1810 1839 1839 1839 1839 1939 1939 1939 1992 2024 2024 2093 2093 2146 2152 2199 2209 2260 2301 2336 2336 2444 2515 2606 2659 2659 2659 2659 2825 2888 2914 2941 2987 3035 3056 3066 3123 3167 3177 3200 3220 3228 3234 3251 3275 3314 3331 3359 3382 3390 3415 3443 3464 3472 3511 3529 3535 3564 3600 3633 3676 3676 3728 3750 3774 3832 3851 3897 3936 3972 3985 4010 4026 4043 4063 4087 4107 4107 4124 4142 4157 4177 4195 4208 4219 4264 4280 4303 4303 4303 4424 4455 4482 4516 4530 4530 4530 4605 4610 4634 4664 4676 4676 4676 4703 4717 4741 4767 4790 4790 4790 4868 4888 4905 4946 4984 4984 4984 5076 5124 5178 5200 5310 5310 5310 5755 5755 5897 6047 6262 6262 6262 6687 6700 6700 6896 7270 7270 7270 7982 7982 8357 8590 8802 8802 8802 9285 9380 9380 9380 9973 9973 9973 9973 9973 10563 10781 11000 11176 11176 11176 11176 11767 11767 11767 11767 11767 11767 11767 11767 11767 13229 13229 13229 13371 13371 13371 13371 13371 13371 13371 13371 13371 15538 15538 15538 15538 15538 15538 16687 16687 16910 17161 17453 17453 17453 17782 18007 18154 18223 18223 18223 18439 18516 18623 18695 18737 18737 18737 18912 18927 19001 19049 19076 19076 19076 19127 19136 19170 19198 19221 19221 19221 19260 19269 19288 19288 19318 19318 19318 19344 19352 19382 19392 19403 19403 19403 19458 19464 19487 19503 19514 19514 19514
"30" "Cabo Verde" 32 43 80 109 143 212 306 397 476 552 593 666 752 824 936 1061 1153 1206 1299 1384 1467 1541 1574 1649 1717 1779 1882 1944 2057 2141 2230 2258 2312 2374 2450 2466 2540 2583 2611 2639 2703 2761 2807 2860 2901 2921 2945 3008 3045 3108 3159 3208 3232 3249 3321 3361 3413 3484 3560 3592 3643 3718 3781 3843 3884 3942 3966 3986 4052 4092 4146 4195 4261 4280 4314 4410 4458 4534 4600 4651 4677 4715 4821 4947 5071 5178 5285 5350 5439 5630 5747 5877 5981 6031 6099 6183 6374 6582 6789 6789 7165 7270 7391 7685 7940 8135 8135 8626 8787 8941 9339 9660 9944 10254 10509 10746 10932 11341 11714 12042 12287 12528 12708 12902 13319 13686 13997 14271 14601 14738 14869 15189 15546 15832 16111 16328 16441 16570 16859 17058 17193 17358 17494 17571 17709 17923 18099 18282 18433 18519 18599 18683 18854 18934 19067 19163 19257 19307 19385 19499 19593 19672 19731 19731 19807 19864 19943 20018 20070 20124 20162 20199 20271 20352 20417 20473 20504 20532 20559 20617 20617 20754 20826 20865 20895 20905 20948 20987 21043 21088 21129 21166 21186 21213 21287 21340 21394 21430 21462 21477 21516 21555 21612 21612 21701 21737 21752 21786 21842 21881 21923 21951 21982 21990 22018 22066 22101 22136 22170 22212 22238 22272 22331 22395 22446 22504 22557 22567 22605 22689 22758 22805 22846 22898 22933 22985 23079 23152 23239 23307 23387 23443 23514 23666 23784 23899 23899 24088 24172 24246 24362 24487 24587 24679 24748 24800 24854 24976 25051 25130 25130 25268 25317 25339 25400 25450 25515 25560 25608 25632 25661 25695 25736 25764 25795 25818 25818 25878 25930 25968 26005 26030 26048 26062 26080 26111 26136 26166 26195 26200 26209 26212 26242 26258 26258 26290 26300 26308 26311 26329 26341 26357 26367 26375 26378 26379 26388 26393 26402 26413 26416 26423 26424 26438 26447 26453 26453 26456 26459 26462 26469 26473 26481 26484 26487
"31" "Cambodia" 1 3 4 4 5 7 8 9 13 13 14 20 33 48 58 61 61 63 70 75 78 78 80 80 82 82 82 85 85 87 88 88 88 89 92 94 96 96 98 98 100 101 101 101 101 101 101 105 106 106 155 190 215 255 319 363 389 427 442 466 500 531 554 575 609 633 633 746 785 847 886 927 947 947 1127 1163 1200 1200 1200 1375 1410 1439 1494 1494 1590 1769 1855 2000 2062 2062 2099 2168 2311 2311 2374 2537 2537 2650 3226 3703 4137 4137 4318 4496 4840 5102 5393 6011 6635 7066 7369 7815 8470 8981 9597 10177 10685 11383 12263 13024 13412 14142 14983 15921 16593 17243 17801 18339 18859 19365 19845 20317 20763 21121 21456 21806 22166 22511 22904 23319 23779 24267 24827 25383 25951 26611 27260 27859 28447 29026 29716 30332 31082 31811 32697 33235 33866 34455 35133 35862 36288 36943 37581 38049 38591 39086 39779 40404 41203 41674 42333 43068 43746 44333 44988 45687 46432 47271 48154 48877 50007 51006 51972 52920 53913 54809 55744 56725 57679 58667 59600 60581 61492 62322 63237 64233 65122 65958 66803 67593 68418 69230 70041 70866 71726 72545 73323 74008 74774 75539 76207 76865 77536 78096 78673 79256 79847 80435 80957 81513 82021 82520 83006 83461 83884 84482 85070 85663 86219 86812 87345 87864 88357 88853 89263 89729 90157 90580 90991 91392 91830 92238 92677 93132 93548 94039 94461 94922 95450 95961 96557 97146 97806 98464 99126 99755 100412 101065 101758 102456 103104 103716 104338 104966 105603 106241 107063 107879 108709 109548 110414 111295 112273 112505 112679 112878 113097 113325 113546 113770 113973 114193 114432 114690 114957 115229 115497 115762 116029 116287 116482 116657 116823 116974 117122 117266 117394 117510 117622 117733 117842 117943 118049 118144 118235 118409 118409 118492 118570 118643 118714 118782 118849 118914 118980 119043 119103 119158 119210 119258 119309 119363 119408 119448 119489
"32" "Cameroon" 571 571 571 571 571 571 571 571 571 571 571 1059 1059 1059 1059 1733 1733 1733 1733 1733 1733 1733 3340 3340 3340 3340 3340 3340 3340 3340 3340 3340 4036 4036 4036 4036 5117 5117 5117 5117 5117 5117 5821 5821 5821 5821 5821 5821 7472 7472 7472 7472 7472 7472 7472 9437 9437 9437 9437 9437 9437 9437 9437 9437 9437 9437 10517 10517 10517 14345 14345 14345 14345 14345 14345 14345 14345 14345 14345 14345 14345 14345 14345 14345 21392 21392 21392 21392 21392 21392 31060 31060 31060 31060 31060 31060 31060 35454 35454 35454 35454 35454 35454 35454 35454 35454 38532 38532 38532 38532 38532 38532 39721 39721 39721 39721 39721 39721 45973 45973 45973 45973 45973 45973 45973 48669 48669 48669 48669 48669 48669 48669 48669 48669 48669 48669 48669 51152 51152 51152 51456 51456 51456 51456 51456 51705 51705 51705 52652 52652 52652 52652 52652 52652 52652 52652 52652 52652 53627 53627 53627 53813 53813 53813 53813 53813 54051 54051 54051 54051 54051 54051 54210 54210 54210 54210 54210 54210 54210 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 54581 55190 55190 55190 55190 55190 55190 55594 55726 55726 55726 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 55787 56177 56177 56177 56177 56177 56177 56177 56177 56177 56177 56177 56177 56177 56177 56177 57148 57148 57148 57148 57148 57148 57933 57933 57933 57933 57933 57933 57933 57933 57933 57933 57933 57933 57933 57933 59137 59137 59137 59137 59137 59137 59137 59137 59137 59137 59137 59137 59137 59137 66026 66026 66026 66026 66026 66026 66026 69122 69122 69122 69122 69122 69122 69122 72125 72125 72125 72125 72125 72125 74012 74012 74012 74012 74012 74012 74012 74012 76222 76222 76222 76222 76222 76222 76222 78071 78071 78071 78071 78071 78071 78071 79442 79913 79913 79913 79913 79913 79913 79913 79913 79913 79913 79913
"33" "Canada" 3720 10662 21305 31372 38700 47008 55549 64944 72218 78946 87195 93586 100668 107930 114774 120834 126887 133011 138170 143942 150225 155955 160694 165081 170713 174939 179204 183929 188742 192718 196306 200894 203956 207252 211221 215475 218581 221544 225271 228097 231538 234609 237325 240906 242923 244629 249026 251569 254964 258025 260631 263188 266472 269777 272771 275872 279099 281629 283814 287480 290318 293058 296190 299063 301826 304378 308460 311534 314519 317642 321216 324131 326775 330565 333582 337015 340688 344962 348285 351427 356286 359964 364160 369326 374410 378647 382737 389050 392936 402064 407820 411453 418549 422043 430332 441197 448957 457304 466570 473940 481612 492153 499619 508571 518349 527607 534687 542577 552893 560207 568426 577327 585791 593252 600055 608971 616000 624222 633485 641876 648240 653977 664962 671708 679487 687577 695305 701247 706691 715564 721112 727782 733675 740410 744800 748945 755395 759307 764337 769187 773521 776766 779594 781310 785063 787547 792245 795340 797499 799442 802385 804111 806303 808480 810469 811802 813151 814940 816061 817498 818988 820369 821506 822480 823799 824692 825774 826875 827843 828580 829160 830196 830706 831424 832140 832762 833295 833693 834624 835189 835741 835892 836731 837073 837355 838165 838455 839006 839598 840153 840470 840733 841260 841600 841940 842318 842698 843008 843311 843949 844262 844779 845177 845771 846096 846363 847437 847974 848770 849682 850592 851028 851388 851603 853846 854826 856349 857901 858486 859068 862277 863611 865571 867712 870029 870897 871641 876187 878049 880405 883374 886372 887425 888581 894009 896231 899768 903188 906968 908430 909854 916728 919663 923617 927613 931819 933463 935196 936239 946160 949865 954126 958725 959638 962412 971700 975714 980128 984799 989906 991752 993574 1002560 1006245 1010360 1014984 1019545 1020590 1021727 1033108 1036572 1040900 1044218 1050012 1051740 1053136 1061513 1064174 1067977 1072088 1076287 1077883 1079479 1080580 1088376 1091082 1094240 1097683 1099196 1100454 1105935 1108359 1111086 1113925 1116590 1118321 1119849 1123356 1125152 1127693 1130333 1132911 1134558 1136077 1139303 1141114 1143389 1146011 1148535 1149823 1151114 1155909 1158273 1160930 1162371 1166293 1167645 1169023 1173393 1175209 1177735 1180533 1183346 1185055 1186530
"34" "Central African Republic" 0 0 0 0 0 0 6 6 6 10 10 10 10 10 10 10 10 10 10 11 11 11 11 17 17 17 17 18 18 18 18 26 26 26 26 26 26 26 26 26 26 33 33 33 33 33 33 34 34 38 38 38 38 38 41 41 41 41 41 41 41 41 55 55 55 58 58 60 60 60 60 60 60 60 62 101 112 112 112 124 124 124 125 125 125 125 125 125 198 198 259 282 282 282 350 350 390 439 439 528 528 528 719 719 719 765 765 824 824 966 1212 1212 1261 1261 1261 1261 1396 1396 1448 1448 1448 1448 1448 1558 1558 1711 1711 1711 1711 1711 1711 1903 1903 1903 1903 1903 1903 2047 2047 2047 2047 2047 2116 2116 2116 2120 2120 2122 2122 2128 2128 2128 2128 2128 2128 2128 2128 2138 2138 2138 2138 2138 2138 2138 2138 2138 2138 2138 2138 2138 2138 2166 2174 2176 2176 2176 2176 2176 2178 2178 2178 2178 2178 2178 2178 2178 2178 2178 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2179 2184 2184 2184 2184 2184 2184 2185 2185 2185 2188 2188 2188 2188 2188 2188 2188 2188 2188 2188 2188 2188 6232 6232 6232 6232 6288 6288 6288 6288 6288 6288 6288 6288 6288 6307 6307 6307 6307 6307 6307 6307 6307 6333 6333 6333 6333 6333 6333 6333 6333 6333 6346 6346 6346 6346 6346 6346 6346 6346 6346 6346 6346 6377 6377 6377 6377 6408 6408 6408 6408 6408 6408 6408 6408 6408 6408 6422 6422 6428 6438 6438 6438 6438 6438 6438 6506 6506 6506 6506 6506 6515 6515 6515 6515 6555 6555 6555 6555 6555 6555 6555 6555 6555 6555 6616 6616 6616 6616 6616 6616 6616 6616 6616 6616 6616 6703 6703 6703 6703 6703 6703 6703 6703 6703 6703
"35" "Chad" 28 56 100 116 176 215 245 306 397 424 476 555 596 660 694 742 782 806 864 899 952 991 1024 1048 1069 1112 1156 1183 1208 1234 1263 1272 1291 1306 1320 1337 1360 1384 1395 1426 1455 1468 1484 1509 1532 1551 1576 1611 1638 1663 1681 1736 1755 1769 1791 1821 1844 1860 1860 1873 1886 1943 1976 1976 2048 2064 2080 2101 2118 2133 2161 2175 2196 2215 2231 2244 2267 2282 2297 2307 2314 2327 2340 2352 2367 2388 2393 2397 2410 2420 2439 2460 2476 2482 2482 2490 2493 2503 2506 2512 2523 2528 2539 2549 2560 2573 2578 2593 2595 2610 2618 2622 2634 2639 2657 2659 2666 2676 2697 2704 2711 2715 2715 2722 2734 2741 2749 2761 2764 2769 2775 2778 2782 2784 2788 2791 2791 2792 2801 2805 2806 2810 2811 2811 2811 2812 2813 2814 2815 2816 2818 2821 2822 2822 2825 2826 2826 2827 2829 2829 2829 2829 2829 2829 2830 2830 2830 2831 2832 2833 2833 2834 2835 2838 2838 2838 2838 2838 2838 2838 2838 2838 2838 2838 2838 2839 2839 2839 2840 2840 2841 2841 2841 2841 2842 2846 2851 2851 2851 2851 2852 2852 2852 2854 2856 2856 2856 2858 2859 2859 2860 2860 2860 2860 2860 2861 2863 2864 2864 2865 2867 2868 2868 2868 2868 2869 2869 2871 2871 2871 2871 2872 2872 2872 2874 2874 2874 2876 2876 2877 2878 2878 2879 2881 2881 2882 2882 2883 2883 2883 2898 2898 2899 2901 2903 2904 2906 2908 2908 2912 2913 2916 2916 2916 2917 2918 2918 2918 2919 2921 2923 2924 2925 2929 2929 2931 2931 2936 2938 2940 2945 2946 2946 2948 2948 2950 2952 2954 2954 2954 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2992 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994 2994
