"Province_State";"Country_Region";"Confirmed";"Deaths"
"Afghanistan";"Afghanistan";159548;7390
"Albania";"Albania";246412;3297
"Algeria";"Algeria";234536;6481
"Andorra";"Andorra";33025;144
"Angola";"Angola";95902;1886
"Antigua and Barbuda";"Antigua and Barbuda";5931;122
"Argentina";"Argentina";7792652;119103
"Armenia";"Armenia";350897;8026
"Australian Capital Territory";"Australia";30634;22
"New South Wales";"Australia";960099;1096
"Northern Territory";"Australia";9047;2
"Queensland";"Australia";325151;105
"South Australia";"Australia";97612;67
"Tasmania";"Australia";24550;15
"Victoria";"Australia";748418;1805
"Western Australia";"Australia";1359;9
"Austria";"Austria";1577588;13985
"Azerbaijan";"Azerbaijan";632034;8597
"Bahamas";"Bahamas";31999;729
"Bahrain";"Bahrain";327466;1399
"Bangladesh";"Bangladesh";1674230;28209
"Barbados";"Barbados";38586;274
"Belarus";"Belarus";724903;5916
"Antwerp";"Belgium";392487;0
"Brussels";"Belgium";332943;0
"East Flanders";"Belgium";338704;0
"Flemish Brabant";"Belgium";246316;0
"Hainaut";"Belgium";314561;0
"Liege";"Belgium";274789;0
"Limburg";"Belgium";180339;0
"Luxembourg";"Belgium";67730;0
"Namur";"Belgium";121673;0
"Walloon Brabant";"Belgium";103993;0
"West Flanders";"Belgium";280767;0
"Belize";"Belize";45753;616
"Benin";"Benin";26309;163
"Bhutan";"Bhutan";3557;3
"Bolivia";"Bolivia";804677;20570
"Bosnia and Herzegovina";"Bosnia and Herzegovina";329569;13984
"Botswana";"Botswana";243946;2544
"Acre";"Brazil";93533;1855
"Alagoas";"Brazil";249267;6405
"Amapa";"Brazil";135391;2036
"Amazonas";"Brazil";488762;13881
"Bahia";"Brazil";1312371;27770
"Ceara";"Brazil";990138;24980
"Distrito Federal";"Brazil";561457;11139
"Espirito Santo";"Brazil";723634;13414
"Goias";"Brazil";999326;24858
"Maranhao";"Brazil";378111;10443
"Mato Grosso";"Brazil";596673;14181
"Mato Grosso do Sul";"Brazil";399835;9781
"Minas Gerais";"Brazil";2489776;56941
"Para";"Brazil";637971;17283
"Paraiba";"Brazil";477089;9632
"Parana";"Brazil";1804018;40982
"Pernambuco";"Brazil";667212;20581
"Piaui";"Brazil";338077;7343
"Rio Grande do Norte";"Brazil";403321;7635
"Rio Grande do Sul";"Brazil";1690598;36635
"Rio de Janeiro";"Brazil";1602066;69674
"Rondonia";"Brazil";300120;6806
"Roraima";"Brazil";136403;2086
"Santa Catarina";"Brazil";1361502;20361
"Sao Paulo";"Brazil";4557842;156434
